2015-02-11 09:49:04,368 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-02-11 09:49:04,373 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /remote_opt/workspace/git/fileMapper/src/test/resources
2015-02-11 09:53:53,531 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-02-11 09:53:53,539 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /remote_opt/workspace/git/fileMapper/src/main/resources
2015-02-11 09:53:53,543 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-02-11 09:53:53,548 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /remote_opt/workspace/git/fileMapper/src/test/resources
2015-02-11 10:01:39,392 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-02-11 10:01:39,397 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /remote_opt/workspace/git/fileMapper/src/main/resources
2015-02-11 10:01:39,399 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-02-11 10:01:39,405 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /remote_opt/workspace/git/fileMapper/src/test/resources
2015-02-11 10:27:30,049 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.springframework:spring:jar:2.0-m2 is missing, no dependency information available
2015-02-11 10:27:30,755 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-02-11 10:27:30,762 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /remote_opt/workspace/git/fileMapper/src/main/resources
2015-02-11 10:27:30,767 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-02-11 10:27:30,772 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /remote_opt/workspace/git/fileMapper/src/test/resources
2015-02-13 11:06:00,719 [Start Help Server] INFO  org.eclipse.jetty.server.Server - jetty-8.1.14.v20131031
2015-02-13 11:06:00,761 [Start Help Server] INFO  o.e.jetty.server.AbstractConnector - Started SelectChannelConnector@127.0.0.1:42608
2015-02-13 12:17:30,897 [Worker-178] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-02-13 12:17:30,911 [Worker-178] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /remote_opt/workspace/git/fileMapper/src/main/resources
2015-02-13 12:17:30,915 [Worker-178] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-02-13 12:17:30,921 [Worker-178] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /remote_opt/workspace/git/fileMapper/src/test/resources
2015-02-13 12:22:37,351 [Worker-179] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-02-13 12:22:37,366 [Worker-179] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /remote_opt/workspace/git/fileMapper/src/main/resources
2015-02-13 12:22:37,369 [Worker-179] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-02-13 12:22:37,375 [Worker-179] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /remote_opt/workspace/git/fileMapper/src/test/resources
2015-02-13 12:23:34,437 [Worker-174] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-02-13 12:23:34,447 [Worker-174] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /remote_opt/workspace/git/fileMapper/src/main/resources
2015-02-13 12:23:34,450 [Worker-174] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-02-13 12:23:34,455 [Worker-174] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /remote_opt/workspace/git/fileMapper/src/test/resources
2015-02-13 12:55:49,158 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.springframework:spring:jar:2.0-m2 is missing, no dependency information available
2015-02-13 12:55:49,673 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-02-13 12:55:49,678 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /remote_opt/workspace/git/fileMapper/src/main/resources
2015-02-13 12:55:49,682 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-02-13 12:55:49,687 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /remote_opt/workspace/git/fileMapper/src/test/resources
2015-02-13 12:56:26,538 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
